n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
P,chrA,Prochlorococcus MED4,PMM0711,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.619803074187042,0.2172936968668701,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.619389551,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.613475235,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-0.608890851338705,0.0141612763486772,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.608505249023433,0.244384029138421,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.608492634,1.0,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.608392413,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.605917473,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.604904162,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.594690004984539,0.0556443644666928,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.594391869,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,0.59,0.63,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.582891296,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-0.577359199523925,0.480602447555878,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.576412506,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.570760391,1.0,not_significant
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.57,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.564595609,1.0,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.56445807,1.0,not_significant
N,cynA,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.56135654449463,0.007184434611543,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.545153027,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.542283488,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.541248362,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.537828978,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.5363911542401613,0.1701340905607276,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.5310290241001295,0.1438749914225376,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.529354413350423,0.0519067265665803,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.529332478841151,0.0174865835756797,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.525577886,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.525219279,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.524732315,1.0,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.5204688529722536,0.1190139421048952,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.520424581,1.0,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.52,0.69,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,0.52,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.516707420349121,0.0177100744989042,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.516245941,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.515601297,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.509865125020345,0.0123892018321413,not_significant
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.509219432,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.506543553,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.498359044392904,0.161403303540867,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.490316622,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.488677358,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.48,0.94,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.479440053304034,0.136900013442224,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.4784833685675551,0.1009217159471363,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.476789054,1.0,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.476702597,1.0,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.473844962,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.473131301,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.47,1.0,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.466140111287435,0.244384029138421,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.46588768,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.464472134908039,0.46357791839397,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.463805564,1.0,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.462238629659016,0.354075856391703,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.46122048,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-0.46,0.94,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.452231913,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.451292355855306,0.182253959680862,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.448837916056318,0.0339083596665721,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.446368436,1.0,not_significant
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.441994,1.0,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.441723649,1.0,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.435602283,1.0,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,0.43,0.88,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.423897705,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.423446984,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.418107032775879,0.360417156733899,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.418075292,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.417037645975749,0.129428134172199,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.416978129,1.0,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.411771375,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.411115328470865,0.139321558215887,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.405319969,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.404549384,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.40301272,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.401609875,1.0,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.400882403055827,0.198174455154745,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.39664944,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.395454406738279,0.0877944221492835,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.385845717,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.382565025,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.381751606,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.381465276082358,0.142824283280329,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.378229585,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-0.37,0.64,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.37,1.0,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.37,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.3696371204325545,0.640575155228824,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.368265109,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.367515478,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.365399561,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.359908414,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.359106381734213,0.27643927747741,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.358014784,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.356656453,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.356053039,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.353352546691895,0.157381533320451,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.35,0.97,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.349961142,1.0,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.345724139,1.0,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.3434571839756931,0.4134216575839733,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.335178057352702,0.379002366032333,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.333747069,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.33295101,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.332896232604981,0.300430736772697,not_significant
